"VM","PowerState","Template","Disk","CapacityMB","Raw","DiskMode","Path","Host","vCenter"
"vCLS-aecbff62-2bf5-4dd8-b218-9b311174123e","poweredOn","False","Hard disk 1","2048","False","persistent","[local] vCLS-aecbff62-2bf5-4dd8-b218-9b311174123e/vCLS-aecbff62-2bf5-4dd8-b218-9b311174123e.vmdk",,"flashstack-vcenter.puretec.purestorage.com"
"vbr-anj","poweredOn","False","Hard disk 1","153600","False","persistent","[FlashStack-Misc] Veeamtest1-anjali/Veeamtest1-anjali.vmdk",,"flashstack-vcenter.puretec.purestorage.com"
"old_flashstack_VC_DO_NOT_USE","poweredOff","False","Hard disk 1","49728","False","persistent","[FlashStack-Misc] old_flashstack_VC_DO_NOT_USE/old_flashstack_VC_DO_NOT_USE.vmdk",,"flashstack-vcenter.puretec.purestorage.com"
"old_flashstack_VC_DO_NOT_USE","poweredOff","False","Hard disk 2","5733","False","persistent","[FlashStack-Misc] old_flashstack_VC_DO_NOT_USE/old_flashstack_VC_DO_NOT_USE_1.vmdk",,"flashstack-vcenter.puretec.purestorage.com"
"old_flashstack_VC_DO_NOT_USE","poweredOff","False","Hard disk 3","51200","False","persistent","[FlashStack-Misc] old_flashstack_VC_DO_NOT_USE/old_flashstack_VC_DO_NOT_USE_2.vmdk",,"flashstack-vcenter.puretec.purestorage.com"
"old_flashstack_VC_DO_NOT_USE","poweredOff","False","Hard disk 4","51200","False","persistent","[FlashStack-Misc] old_flashstack_VC_DO_NOT_USE/old_flashstack_VC_DO_NOT_USE_3.vmdk",,"flashstack-vcenter.puretec.purestorage.com"
"old_flashstack_VC_DO_NOT_USE","poweredOff","False","Hard disk 5","25600","False","persistent","[FlashStack-Misc] old_flashstack_VC_DO_NOT_USE/old_flashstack_VC_DO_NOT_USE_4.vmdk",,"flashstack-vcenter.puretec.purestorage.com"
"old_flashstack_VC_DO_NOT_USE","poweredOff","False","Hard disk 6","25600","False","persistent","[FlashStack-Misc] old_flashstack_VC_DO_NOT_USE/old_flashstack_VC_DO_NOT_USE_5.vmdk",,"flashstack-vcenter.puretec.purestorage.com"
"old_flashstack_VC_DO_NOT_USE","poweredOff","False","Hard disk 7","25600","False","persistent","[FlashStack-Misc] old_flashstack_VC_DO_NOT_USE/old_flashstack_VC_DO_NOT_USE_6.vmdk",,"flashstack-vcenter.puretec.purestorage.com"
"old_flashstack_VC_DO_NOT_USE","poweredOff","False","Hard disk 8","51200","False","persistent","[FlashStack-Misc] old_flashstack_VC_DO_NOT_USE/old_flashstack_VC_DO_NOT_USE_7.vmdk",,"flashstack-vcenter.puretec.purestorage.com"
"old_flashstack_VC_DO_NOT_USE","poweredOff","False","Hard disk 9","10240","False","persistent","[FlashStack-Misc] old_flashstack_VC_DO_NOT_USE/old_flashstack_VC_DO_NOT_USE_8.vmdk",,"flashstack-vcenter.puretec.purestorage.com"
"old_flashstack_VC_DO_NOT_USE","poweredOff","False","Hard disk 10","25600","False","persistent","[FlashStack-Misc] old_flashstack_VC_DO_NOT_USE/old_flashstack_VC_DO_NOT_USE_9.vmdk",,"flashstack-vcenter.puretec.purestorage.com"
"old_flashstack_VC_DO_NOT_USE","poweredOff","False","Hard disk 11","25600","False","persistent","[FlashStack-Misc] old_flashstack_VC_DO_NOT_USE/old_flashstack_VC_DO_NOT_USE_10.vmdk",,"flashstack-vcenter.puretec.purestorage.com"
"old_flashstack_VC_DO_NOT_USE","poweredOff","False","Hard disk 12","102400","False","persistent","[FlashStack-Misc] old_flashstack_VC_DO_NOT_USE/old_flashstack_VC_DO_NOT_USE_11.vmdk",,"flashstack-vcenter.puretec.purestorage.com"
"old_flashstack_VC_DO_NOT_USE","poweredOff","False","Hard disk 13","102400","False","persistent","[FlashStack-Misc] old_flashstack_VC_DO_NOT_USE/old_flashstack_VC_DO_NOT_USE_12.vmdk",,"flashstack-vcenter.puretec.purestorage.com"
"old_flashstack_VC_DO_NOT_USE","poweredOff","False","Hard disk 14","51200","False","persistent","[FlashStack-Misc] old_flashstack_VC_DO_NOT_USE/old_flashstack_VC_DO_NOT_USE_13.vmdk",,"flashstack-vcenter.puretec.purestorage.com"
"old_flashstack_VC_DO_NOT_USE","poweredOff","False","Hard disk 15","25600","False","persistent","[FlashStack-Misc] old_flashstack_VC_DO_NOT_USE/old_flashstack_VC_DO_NOT_USE_14.vmdk",,"flashstack-vcenter.puretec.purestorage.com"
"old_flashstack_VC_DO_NOT_USE","poweredOff","False","Hard disk 16","102400","False","persistent","[FlashStack-Misc] old_flashstack_VC_DO_NOT_USE/old_flashstack_VC_DO_NOT_USE_15.vmdk",,"flashstack-vcenter.puretec.purestorage.com"
"old_flashstack_VC_DO_NOT_USE","poweredOff","False","Hard disk 17","204800","False","persistent","[FlashStack-Misc] old_flashstack_VC_DO_NOT_USE/old_flashstack_VC_DO_NOT_USE_16.vmdk",,"flashstack-vcenter.puretec.purestorage.com"
"FlashStackDEV","poweredOn","False","Hard disk 1","40960","False","persistent","[FlashStack-Prod] FlashStackDEV/FlashStackDEV.vmdk",,"flashstack-vcenter.puretec.purestorage.com"
"flashstack-dev-01","poweredOn","False","Hard disk 1","51200","False","persistent","[FlashStack-Prod] flashstack-dev-01/flashstack-dev-01.vmdk",,"flashstack-vcenter.puretec.purestorage.com"
"flashstack-dev-01","poweredOn","False","Hard disk 2","51200","False","persistent","[FlashStack-Prod] flashstack-dev-01/flashstack-dev-01_1.vmdk",,"flashstack-vcenter.puretec.purestorage.com"
"linux-ubuntu-22.04-lts-v23.01","poweredOff","True","Hard disk 1","40960","False","persistent","[FlashStack_ISO_ContLib] linux-ubuntu-22.04-lts-v23.01/linux-ubuntu-22.04-lts-v23.01.vmdk",,"flashstack-vcenter.puretec.purestorage.com"
"ubuntudev-aditya","poweredOn","False","Hard disk 1","40960","False","persistent","[FlashStack-Misc] ubuntudev-aditya/ubuntudev-aditya.vmdk",,"flashstack-vcenter.puretec.purestorage.com"
"vCLS-c6339ebc-1fe5-424a-ba29-2c3c8fa6bb40","poweredOn","False","Hard disk 1","2048","False","persistent","[FlashStack-Misc] vCLS-c6339ebc-1fe5-424a-ba29-2c3c8fa6bb40/vCLS-c6339ebc-1fe5-424a-ba29-2c3c8fa6bb40.vmdk",,"flashstack-vcenter.puretec.purestorage.com"
"vCLS-4d882e54-235f-4d8b-8117-15966e8e46dc","poweredOn","False","Hard disk 1","2048","False","persistent","[FlashStack-Misc] vCLS-4d882e54-235f-4d8b-8117-15966e8e46dc/vCLS-4d882e54-235f-4d8b-8117-15966e8e46dc.vmdk",,"flashstack-vcenter.puretec.purestorage.com"
"vCLS-254b7906-0f88-420a-aaca-09907fe4d6c2","poweredOn","False","Hard disk 1","2048","False","persistent","[FlashStack-Misc] vCLS-254b7906-0f88-420a-aaca-09907fe4d6c2/vCLS-254b7906-0f88-420a-aaca-09907fe4d6c2.vmdk",,"flashstack-vcenter.puretec.purestorage.com"
"smartconfig-veeam","poweredOn","False","Hard disk 1","92160","False","persistent","[FlashStack-Prod] smartconfig-veeam/smartconfig-veeam_2.vmdk",,"flashstack-vcenter.puretec.purestorage.com"
"smartconfig-veeam","poweredOn","False","Hard disk 2","3407872","False","persistent","[SmartConfig-Veeam] smartconfig-veeam/smartconfig-veeam.vmdk",,"flashstack-vcenter.puretec.purestorage.com"
"ubuntudev-joe","poweredOn","False","Hard disk 1","61440","False","persistent","[FlashStack-Misc] ubuntudev-joe/ubuntudev-joe.vmdk",,"flashstack-vcenter.puretec.purestorage.com"
"pure-plugin","poweredOn","False","Hard disk 1","40960","False","persistent","[FlashStack-Prod] pure-plugin_1/pure-plugin.vmdk",,"flashstack-vcenter.puretec.purestorage.com"
"pure-collector","poweredOn","False","Hard disk 1","40960","False","persistent","[FlashStack-Prod] pure-collector_1/pure-collector.vmdk",,"flashstack-vcenter.puretec.purestorage.com"
"ocpportwx-master1","poweredOn","False","Hard disk 1","102400","False","persistent","[FlashStack-Prod] ocpportwx-master1/ocpportwx-master1.vmdk",,"flashstack-vcenter.puretec.purestorage.com"
"ocpportwx-master1","poweredOn","False","Hard disk 2","153600","False","independent_persistent","[FlashStack-Prod] fcd/c6117dc6b43c464687cf5e5ba582e127.vmdk",,"flashstack-vcenter.puretec.purestorage.com"
"ocpportwx-master1","poweredOn","False","Hard disk 3","32768","False","independent_persistent","[FlashStack-Prod] fcd/c5efc9a7d18f4905850d0c5c82e0bc76.vmdk",,"flashstack-vcenter.puretec.purestorage.com"
"ocpportwx-master2","poweredOn","False","Hard disk 1","102400","False","persistent","[FlashStack-Prod] ocpportwx-master2/ocpportwx-master2.vmdk",,"flashstack-vcenter.puretec.purestorage.com"
"ocpportwx-master2","poweredOn","False","Hard disk 2","153600","False","independent_persistent","[FlashStack-Prod] fcd/d36ac1a5ad534ca893456ba64e8b6231.vmdk",,"flashstack-vcenter.puretec.purestorage.com"
"ocpportwx-master2","poweredOn","False","Hard disk 3","32768","False","independent_persistent","[FlashStack-Prod] fcd/2b39d03e46744684a8237ab1c5b32bf9.vmdk",,"flashstack-vcenter.puretec.purestorage.com"
"ocpportwx-master3","poweredOn","False","Hard disk 1","102400","False","persistent","[FlashStack-Prod] ocpportwx-master3/ocpportwx-master3.vmdk",,"flashstack-vcenter.puretec.purestorage.com"
"ocpportwx-master3","poweredOn","False","Hard disk 2","153600","False","independent_persistent","[FlashStack-Prod] fcd/13b19e7014e24e02b9c73aa9f47e62c7.vmdk",,"flashstack-vcenter.puretec.purestorage.com"
"ocpportwx-master3","poweredOn","False","Hard disk 3","32768","False","independent_persistent","[FlashStack-Prod] fcd/2cbb84805ef5412784bcf8f80677f6cb.vmdk",,"flashstack-vcenter.puretec.purestorage.com"
"fs-prometheuslab","poweredOn","False","Hard disk 1","102400","False","persistent","[FlashStack-Prod] fs-prometheuslab/fs-prometheuslab-000007.vmdk",,"flashstack-vcenter.puretec.purestorage.com"
"fs-prometheuslab","poweredOn","False","Hard disk 2","512000","False","persistent","[FlashStack-Prod] fs-prometheuslab/fs-prometheuslab_1-000006.vmdk",,"flashstack-vcenter.puretec.purestorage.com"
"fs-victoriametricslab","poweredOn","False","Hard disk 1","102400","False","persistent","[FlashStack-Prod] fs-victoriametricslab/fs-victoriametricslab-000001.vmdk",,"flashstack-vcenter.puretec.purestorage.com"
"fs-victoriametricslab","poweredOn","False","Hard disk 2","512000","False","persistent","[FlashStack-Prod] fs-victoriametricslab/fs-victoriametricslab_1-000001.vmdk",,"flashstack-vcenter.puretec.purestorage.com"
"win-jump","poweredOn","False","Hard disk 1","153600","False","persistent","[FlashStack-Misc] win-jump/win-jump.vmdk",,"flashstack-vcenter.puretec.purestorage.com"
"oracle-vm-1.puretec.purestorage.com","poweredOn","False","Hard disk 1","102400","False","persistent","[FlashStack-Prod] oracle-vm-1.puretec.purestorage.com/oracle-vm-1.puretec.purestorage.com.vmdk",,"flashstack-vcenter.puretec.purestorage.com"
"oracle-vm-1.puretec.purestorage.com","poweredOn","False","Hard disk 2","512000","False","persistent","[FlashStack-Prod] oracle-vm-1.puretec.purestorage.com/oracle-vm-1.puretec.purestorage.com_1.vmdk",,"flashstack-vcenter.puretec.purestorage.com"
"Rhel-Test","poweredOff","True","Hard disk 1","40960","False","persistent","[FlashStack-Misc] Rhel-Test/Rhel-Test.vmdk",,"flashstack-vcenter.puretec.purestorage.com"
"Rhel-Test","poweredOff","True","Hard disk 2","51200","False","persistent","[FlashStack-Misc] Rhel-Test/Rhel-Test_1.vmdk",,"flashstack-vcenter.puretec.purestorage.com"
"host-420","poweredOn","False","Hard disk 1","40960","False","persistent","[FlashStack-Prod] host-420/host-420.vmdk",,"flashstack-vcenter.puretec.purestorage.com"
"host-420","poweredOn","False","Hard disk 2","51200","False","persistent","[FlashStack-Prod] host-420/host-420_1.vmdk",,"flashstack-vcenter.puretec.purestorage.com"
"mssql-test-1.puretec.purestorage.com","poweredOn","False","Hard disk 1","102400","False","persistent","[FlashStack-Misc] mssql-test-1.puretec.purestorage.com/mssql-test-1.puretec.purestorage.com.vmdk",,"flashstack-vcenter.puretec.purestorage.com"
"mssql-test-1.puretec.purestorage.com","poweredOn","False","Hard disk 2","153600","False","persistent","[FlashStack-Misc] mssql-test-1.puretec.purestorage.com/mssql-test-1.puretec.purestorage.com_1.vmdk",,"flashstack-vcenter.puretec.purestorage.com"
"Win-424","poweredOn","False","Hard disk 1","102400","False","persistent","[FlashStack-Prod] Win-424/Win-424.vmdk",,"flashstack-vcenter.puretec.purestorage.com"
"intersight-appliance","poweredOff","False","Hard disk 1","25600","False","persistent","[FlashStack-Prod] intersight-appliance/intersight-appliance.vmdk",,"flashstack-vcenter.puretec.purestorage.com"
"intersight-appliance","poweredOff","False","Hard disk 2","25600","False","persistent","[FlashStack-Prod] intersight-appliance/intersight-appliance_1.vmdk",,"flashstack-vcenter.puretec.purestorage.com"
"intersight-appliance","poweredOff","False","Hard disk 3","51200","False","persistent","[FlashStack-Prod] intersight-appliance/intersight-appliance_2.vmdk",,"flashstack-vcenter.puretec.purestorage.com"
"intersight-appliance","poweredOff","False","Hard disk 4","153600","False","persistent","[FlashStack-Prod] intersight-appliance/intersight-appliance_3.vmdk",,"flashstack-vcenter.puretec.purestorage.com"
"intersight-appliance","poweredOff","False","Hard disk 5","102400","False","persistent","[FlashStack-Prod] intersight-appliance/intersight-appliance_4.vmdk",,"flashstack-vcenter.puretec.purestorage.com"
"intersight-appliance","poweredOff","False","Hard disk 6","30720","False","persistent","[FlashStack-Prod] intersight-appliance/intersight-appliance_5.vmdk",,"flashstack-vcenter.puretec.purestorage.com"
"intersight-appliance","poweredOff","False","Hard disk 7","61440","False","persistent","[FlashStack-Prod] intersight-appliance/intersight-appliance_6.vmdk",,"flashstack-vcenter.puretec.purestorage.com"
"intersight-appliance","poweredOff","False","Hard disk 8","61440","False","persistent","[FlashStack-Prod] intersight-appliance/intersight-appliance_7.vmdk",,"flashstack-vcenter.puretec.purestorage.com"
"Win-438","poweredOn","False","Hard disk 1","102400","False","persistent","[FlashStack-Prod] Win-438/Win-438.vmdk",,"flashstack-vcenter.puretec.purestorage.com"
"Rhel-Test-Template","poweredOff","True","Hard disk 1","40960","False","persistent","[FlashStack-Misc] Rhel-Test-Template/Rhel-Test-Template.vmdk",,"flashstack-vcenter.puretec.purestorage.com"
"Rhel-Test-Template","poweredOff","True","Hard disk 2","51200","False","persistent","[FlashStack-Misc] Rhel-Test-Template/Rhel-Test-Template_1.vmdk",,"flashstack-vcenter.puretec.purestorage.com"
"host-447","poweredOn","False","Hard disk 1","40960","False","persistent","[FlashStack-Prod] host-447/host-447.vmdk",,"flashstack-vcenter.puretec.purestorage.com"
"host-447","poweredOn","False","Hard disk 2","51200","False","persistent","[FlashStack-Prod] host-447/host-447_1.vmdk",,"flashstack-vcenter.puretec.purestorage.com"
"host-484","poweredOn","False","Hard disk 1","40960","False","persistent","[FlashStack-Prod] host-484/host-484.vmdk",,"flashstack-vcenter.puretec.purestorage.com"
"host-482","poweredOn","False","Hard disk 1","40960","False","persistent","[FlashStack-Prod] host-482/host-482.vmdk",,"flashstack-vcenter.puretec.purestorage.com"
"host-483","poweredOn","False","Hard disk 1","40960","False","persistent","[FlashStack-Prod] host-483/host-483.vmdk",,"flashstack-vcenter.puretec.purestorage.com"
